SatelliteCatalogNumber,ElsetClassification,InternationalDesignator,ElementSetEpoch(UTC),1stDerivativeMeanMotion,2ndDerivativeMeanMotion,b*DragTerm,ElementSetType,ElementNumber,Checksum,OrbitInclination,Eccentricity,ArgumentofPerigee,MeanAnomaly,MeanMotion,RevolutionNumberatEpoch,Checksum(2)
234, U, 61015BS, 20121.95663049, +.00000023, +00000-0, +64744-4, 0, 066.8766, 320.3637, 0077222, 313.0813, 046.3826, 14.02226225, 99747, 4
235, U, 61015BT, 20122.22592642, +.00000251, +00000-0, +16803-3, 0, 066.9534, 115.9662, 0169788, 219.0416, 139.8319, 14.08633172, 00590, 0
243, U, 61015BY, 20122.16484869, .00000114, 00000-0, 13880-3, 0, 66.4646, 218.6740, 0021119, 74.8176, 285.5237, 13.97228454, 97083, 2
244, U, 61015BZ, 20122.44987702, .00000002, 00000-0, 58258-4, 0, 66.8413, 322.8933, 0075745, 238.0242, 121.3461, 13.94643107, 98745, 8
245, U, 61015CA, 20122.53561796, -.00000285, 00000-0, -10344-3, 0, 66.0700, 266.1605, 0047709, 59.8977, 300.6825, 14.13751493, 1160, 0
246, U, 61015CB, 20122.20999300, -.00000051, +00000-0, +20643-4, 0, 066.8692, 196.1486, 0072654, 271.8868, 087.3888, 13.85773200, 31374, 6
252, U, 61015CD, 20122.21283995, -.00000092, +00000-0, -20748-4, 0, 067.0779, 062.7622, 0050843, 037.7367, 062.0710, 13.76206373, 94326, 3
253, U, 61015CE, 20122.28300192, +.00000576, +00000-0, +13988-3, 0, 066.9258, 118.4789, 0019227, 131.5332, 228.7437, 14.59995213, 04957, 1
254, U, 61015CF, 20122.17885773, +.00000191, +00000-0, +82627-4, 0, 066.7746, 146.8634, 0076312, 330.4299, 029.2500, 14.42245340, 05015, 8
260, U, 61015CG, 20122.04695054, +.00000244, +00000-0, +11508-3, 0, 066.7717, 353.9284, 0053524, 344.6236, 015.3236, 14.34521526, 03457, 7
261, U, 61015CH, 20122.75015990, -.00000060, 00000-0, 12577-4, 0, 66.6818, 230.2332, 0082319, 65.8731, 295.0933, 13.99926077, 99881, 3
262, U, 61015CJ, 20122.13929875, +.00000269, +00000-0, +10615-3, 0, 066.4673, 030.5555, 0081937, 206.1297, 153.5661, 14.42116000, 03449, 8
263, U, 61015CK, 20122.19211648, +.00000104, +00000-0, +59157-4, 0, 066.5333, 024.9163, 0102998, 039.5929, 114.0848, 14.40179784, 06048, 9
264, U, 61015CL, 20122.11925142, +.00000338, +00000-0, +17282-3, 0, 066.5300, 020.3407, 0018940, 144.0649, 216.1724, 14.27318533, 01335, 2
268, U, 61015CN, 20122.06708066, -.00000448, +00000-0, -11906-2, 0, 067.9395, 348.9601, 0656477, 321.9535, 195.2181, 12.50358849, 67332, 4
271, U, 62010A, 20122.08813568, -.00000000, +00000-0, -60068-3, 0, 086.6464, 281.2393, 0330415, 257.8929, 098.4777, 09.41308930, 99516, 1
273, U, 62010C, 20121.32679198, +.00000035, +00000-0, +57878-2, 0, 086.6549, 264.2232, 0311611, 108.5317, 254.9707, 09.43771351, 00006, 1
274, U, 62010D, 20121.91820927, -.00000004, +00000-0, -16547-2, 0, 086.6508, 297.6494, 0331398, 021.5741, 339.8767, 09.39336737, 99073, 7
299, U, 61015CQ, 20122.50701394, .00000001, 00000-0, 72911-4, 0, 67.1676, 177.8607, 0190802, 158.3037, 202.6256, 13.67857397, 92346, 1
309, U, 62025A, 20122.23820550, -.00000157, +00000-0, +96514-5, 0, 058.0887, 134.2814, 0199009, 072.2955, 289.9688, 14.56840511, 05543, 3
312, U, 62025C, 20122.20950170, +.00000019, +00000-0, +39841-4, 0, 058.2487, 249.0521, 0207778, 210.4212, 148.4627, 14.54453419, 03276, 8
318, U, 61015CU, 20122.54109158, .00000406, 00000-0, 59181-4, 0, 66.5360, 238.9548, 0079448, 276.2507, 82.9572, 14.85693297, 10008, 6
320, U, 61015CW, 20122.23504643, +.00000008, +00000-0, +34707-4, 0, 066.9063, 073.9305, 0144551, 294.7860, 063.8257, 14.27182983, 04881, 7
323, U, 61015CZ, 20122.15606043, +.00000355, +00000-0, +22480-3, 0, 066.8432, 013.1858, 0084683, 286.3436, 072.8355, 14.13201173, 01197, 7
324, U, 61015DA, 20122.52583202, .00000123, 00000-0, 11171-3, 0, 66.8671, 269.7181, 0074995, 238.3571, 121.0188, 14.10248433, 771, 8
