,SatelliteCatalogNumber,ElsetClassification,InternationalDesignator,ElementSetEpoch(UTC),1stDerivativeMeanMotion,2ndDerivativeMeanMotion,b*DragTerm,ElementSetType,ElementNumber,Checksum,OrbitInclination,RightAscension,Eccentricity,ArgumentofPerigee,MeanAnomaly,MeanMotion,RevolutionNumberatEpoch,Checksum(2),OrbitalPeriod,SemiMajorAxis,U,Ux,Probability
7674,28145,U,77018F,20121.73521782,1.246e-05,+00000-0,+20210-3,0,999,5,24.5108,271.3633,0.4954653,346.4544,3.9583,5.6895629,32478,5,15185.700820708036,13253.084144820838,0.5275700777771374,0.1157833971244169,3.6468856749022716e-07
7676,28155,U,04003B,20121.98520198,6.152e-05,00000-0,79046-3,0,999,9,12.271,18.1855,0.6456637,182.2219,172.0679,3.39985489,16833,7,25412.849311342226,18680.82146727958,0.3997136378801218,0.17384200422296672,2.1465370599485745e-07
7679,28160,U,04004C,20122.44667793,2.08e-06,00000-0,13868-3,0,999,7,28.1133,239.9798,0.7201023,273.1282,14.417,2.3509455,876,5,36751.17096504364,23889.5434350223,0.6468951348796768,0.13989914626087696,1.346346019965257e-07
7683,28188,U,04008B,20121.34928766,9.57e-06,00000-0,16993-3,0,999,2,49.4695,201.5903,0.5102147,0.4597,359.9174,5.45508294,30973,3,15838.439296030207,13630.192371226185,0.9579280069138644,0.12413365462509988,3.232307372139692e-07
7685,28193,U,04009D,20122.06120855,0.00066464,68858-6,36049-3,0,999,2,38.8079,359.4533,0.276934,174.3068,189.7464,10.02437288,41806,5,8618.993031711725,9085.13563582109,0.7212328259183706,0.12818054930658132,5.252414524623855e-07
7771,28359,U,04022B,20122.13226713,1.613e-05,+00000-0,+23792-3,0,999,4,49.5126,73.419,0.46402659999999996,45.7951,344.074,6.23428707,35055,8,13858.8420824837,12469.38477687111,0.9467117399623722,0.11401174633921825,3.972316248424662e-07
7792,28385,U,04034B,20122.43949476,0.00026552,00000-0,41544-3,0,999,1,57.2782,176.4757,0.3158512,67.0503,323.0719,9.1579239,3044,3,9434.452714768682,9649.501333982833,1.0361672194734772,0.1266555757508421,5.197146162903293e-07
7797,28395,U,04031C,20122.15573101,3.369e-05,+00000-0,+51828-3,0,999,3,49.4541,42.9267,0.5289461,3.5614,359.0669,5.15685586,28723,9,16754.39499292113,14150.753387219755,0.9627194319487735,0.13242639715196275,2.8792406405797715e-07
7845,28524,U,81038F,20121.15494885,1.407e-05,00000-0,22710-3,0,999,8,63.043,78.8052,0.68509,263.7766,20.8284,2.8482333,861,6,30334.593728680862,21020.958634673018,1.2306498165293676,0.17893524346305376,1.282576515020131e-07
7848,28528,U,05003C,20122.17541459,9.61e-06,00000-0,14227-3,0,999,1,49.4769,177.2576,0.5166866,72.2667,336.1188,5.35632869,29007,4,16130.451471603026,13797.214336712055,0.9598881124814751,0.12935226993381993,3.051643467231941e-07
7850,28544,U,05005C,20122.66033111,3.03e-06,00000-0,93239-4,0,999,7,7.3792,357.4276,0.7080383000000001,307.5802,7.1598,2.51973773,13312,5,34289.28295644483,22810.387583850636,0.3654029223086083,0.15753218577532682,2.6557587261692965e-07
7851,28545,U,05005D,20121.77061634,7.25e-06,00000-0,14647-3,0,999,3,7.3947,24.5972,0.7128178000000001,250.9107,24.351,2.47712874,13140,9,34879.09150817894,23071.217068412585,0.3741330839418193,0.17916723768522647,2.3455269701185881e-07
7899,28632,U,05010D,20121.86643241,0.00027554,00000-0,88164-3,0,999,0,47.4262,32.0553,0.5330766,330.1943,7.9788,5.17575427,22936,3,16693.219092876294,14116.286301637292,0.9315540933082394,0.1707734116486243,2.2374831075762895e-07
7904,28645,U,05015B,20121.97785743,1.239e-05,+00000-0,+31050-3,0,999,9,0.1294,258.9177,0.6752135,244.341,291.1489,2.96845014,14790,3,29106.097769929198,20449.5168504348,0.32595976879191163,0.16495413085299934,1.5157766479871391e-05
7913,28661,U,05019C,20122.04496772,1.942e-05,+00000-0,+46131-3,0,999,8,49.4048,326.173,0.6074545,173.1577,202.198,3.92383437,20368,1,22019.278046132204,16978.36162269963,0.9821783643182053,0.14267747253237786,2.076028807557846e-07
7937,28808,U,65108CA,20121.07406455,6.33e-06,+00000-0,+20205-3,0,999,7,27.8679,33.264,0.5987003000000001,307.1664,11.9446,4.04663185,9875,5,21351.089795826127,16633.12151944748,0.6116797295339453,0.13526749694050874,2.2846484749243055e-07
7943,28817,U,65108CE,20122.48107868,1.96e-06,00000-0,10623-3,0,999,6,26.1142,182.1912,0.6316430000000001,119.3401,317.2882,3.49501024,22591,8,24720.957612988284,18340.19387772624,0.5834271472357813,0.06580607618064077,4.1084002035145976e-07
7954,28870,U,05036C,20122.34081305,5.33e-06,00000-0,97895-4,0,999,3,49.398,253.3813,0.546991,260.0077,37.144,4.84855257,28982,7,17819.751101512757,14744.435553170433,0.9660578150786827,0.12641227682787434,2.8481174972898214e-07
7956,28876,U,05038C,20121.56541091,7.342e-05,+00000-0,+72033-3,0,999,8,39.4667,222.0492,0.5505748,198.311,129.4631,4.83731167,23505,7,17861.160473871223,14767.268704032147,0.7991320932391553,0.15132443686462257,2.3454455344430206e-07
7970,28900,U,05044B,20122.21530345,7.2e-07,+00000-0,+16067-3,0,999,4,2.9371,103.7212,0.7086984000000001,64.4935,350.7289,2.507794,12666,1,34452.59060353442,22882.75538607498,0.338726224134847,0.15358857734936796,6.299292973626547e-07
7974,28905,U,05046D,20122.65147707,0.1980731,-26589-4,14577-2,0,999,3,6.9675,246.6679,0.06017919999999999,58.8047,322.4496,15.06490681,17419,8,5735.1831703763455,6924.555881143948,0.1350061319761386,0.05699086047200828,1.7169087945455887e-06
7992,28926,U,05052C,20122.07839699,4.8e-06,+00000-0,+89771-4,0,999,5,49.5948,24.3246,0.515604,221.8763,84.4817,5.36594456,27334,7,16101.545409928724,13780.726170810312,0.9614376669394523,0.12512087671692923,3.160059441246857e-07
7998,28938,U,06004B,20122.30861698,1.727e-05,00000-0,72734-3,0,999,1,28.3097,225.2026,0.6838469,175.4194,197.8309,2.83880149,13400,3,30435.379262817005,21067.493780342884,0.6429714374412461,0.1542688777880821,1.4560243268847385e-07
7999,28939,U,06005A,20122.42292571,2.16e-05,00000-0,59535-4,0,999,1,98.2285,91.1436,0.0095175,128.1393,232.8474,15.34047333,77370,2,5632.159982380413,6841.380058359235,1.5154740202516233,0.0027408821177834918,5.00157730374888e-05
8003,28947,U,06007C,20121.76966826,2.713e-05,00000-0,67389-3,0,999,8,4.7297,254.3166,0.5796471,293.0342,17.3974,4.33645164,16613,4,19924.123954948565,15883.51261820208,0.2950629261166415,0.13191161461504636,6.865377543841174e-07
8004,28948,U,06007D,20121.88178266,1.662e-05,+00000-0,+36860-3,0,999,7,4.5939,192.3415,0.7097448000000001,52.5722,352.8773,2.51928776,12461,6,34295.40736545316,22813.10361196685,0.35572396138349005,0.1810912561425607,3.605918048603045e-07
8016,28980,U,06008A,20121.82136973,1.286e-05,+26733-5,+96444-4,0,999,0,105.5293,69.8678,0.2018409,229.3904,111.3509,11.33968765,56172,1,7619.257484574541,8368.266373771192,1.6651121266736548,0.07594048734860605,1.5060460613678984e-06
8017,28981,U,06008B,20122.46336283,4.86e-05,35760-5,11330-3,0,999,9,105.458,212.1057,0.1531975,300.2002,45.5994,12.4972787,58811,5,6913.505097713793,7843.187317880606,1.6438658178064232,0.07651053954437041,1.6258399846753014e-06
8018,28982,U,06008C,20122.23117953,5.646e-05,+29540-5,+16626-3,0,999,1,105.535,46.3265,0.17015120000000003,170.7425,192.9718,12.09249869,26892,3,7144.925314025401,8017.251816440445,1.6518107037879621,0.07764121436154964,1.5583430639207373e-06
8019,28983,U,06008D,20122.1209933,2.264e-05,+26521-5,+12947-3,0,999,9,105.5797,102.2558,0.1989707,201.3087,149.2233,11.41128676,56326,4,7571.451127041873,8333.225701374993,1.6643800471529293,0.07684309399750329,1.497461523195179e-06
8089,29093,U,06015B,20122.42795662,2.961e-05,00000-0,59598-4,0,999,1,97.617,286.6444,0.005538800000000001,130.7092,229.8987,15.45840955,77932,9,5589.1907715693815,6806.539219328216,1.5065459896985043,0.003790298306607396,3.617752437516291e-05
