,SatelliteCatalogNumber,ElsetClassification,InternationalDesignator,ElementSetEpoch(UTC),1stDerivativeMeanMotion,2ndDerivativeMeanMotion,b*DragTerm,ElementSetType,ElementNumber,Checksum,OrbitInclination,RightAscension,Eccentricity,ArgumentofPerigee,MeanAnomaly,MeanMotion,RevolutionNumberatEpoch,Checksum(2),OrbitalPeriod,SemiMajorAxis
1991,9681, U, 75004GC,20121.94719587,3.1e-07, +00000-0, +21553-4,0,999,0,97.9179,286.2835,54892,259.7909,99.7088,14.41516868,32119,2,5993.686367324561,7131.098001560123
1992,9695, U, 74089DU,20122.05000835,9.6e-07, 00000-0, 20725-3,0,999,9,102.9949,156.9268,296056,94.2846,269.2159,13.46366481,13891,1,6417.2720592261985,7463.2392386117845
1993,9696, U, 74089DV,20122.08900672,1.77e-06, +00000-0, +19051-2,0,999,0,100.8428,215.9439,193083,207.9223,276.1048,12.21757968,2563,9,7071.777083757066,7962.438738969212
1994,9697, U, 74089DW,20122.22585267,-1.42e-06, +00000-0, -59061-3,0,999,6,101.7413,221.219,145095,86.0487,304.6024,12.53311158,7887,3,6893.7389927872955,7828.230772372088
1995,9699, U, 74089DY,20122.13768685,-3.6e-07, +00000-0, +39724-4,0,999,1,101.5822,0.2938,124549,157.9964,357.561,12.29220907,4247,0,7028.842375522661,7930.177932585374
1996,9701, U, 73086FZ,20121.88804062,1.556e-05, 00000-0, 46881-2,0,999,9,102.719,252.6522,31683,279.3255,207.7232,13.09214417,15720,7,6599.377373034229,7603.771159090942
1997,9702, U, 73086GA,20121.91764341,-2.312e-05, +00000-0, -32875-1,0,999,9,103.0839,263.5527,702393,270.8774,248.7315,11.39319731,93576,1,7583.4726327582575,8342.044039980272
1998,9703, U, 73086GB,20122.25294078,-2e-07, +00000-0, +67272-4,0,999,8,65.7243,24.409,131472,203.2656,242.4852,13.66758042,27807,2,6321.528562112533,7388.820770579786
1999,9704, U, 76069C,20122.36666345,7.25e-06, 00000-0, 76418-4,0,999,8,74.053,95.4072,5451,292.2465,67.8139,14.91427469,63048,5,5793.1077304034825,6971.102454579936
2000,9710, U, 75004GU,20122.33626015,3e-07, 00000-0, 27664-4,0,999,8,97.6984,247.8828,159840,74.9266,286.9535,14.17658371,5121,2,6094.557177344104,7210.883840613335
2001,9721, U, 76126S,20122.49758214,-4.4e-07, 00000-0, 15282-4,0,999,9,65.842,154.8509,1078736,241.5111,107.3178,12.75333218,1046,8,6774.700037649298,7737.852429334889
2002,9722, U, 76126T,20122.17089621,7.17e-06, 00000-0, 15208-2,0,999,6,65.76,204.08,811292,189.9287,168.4806,12.49795696,95703,2,6913.129904073538,7842.903550522203
2003,9723, U, 76126U,20122.2294419,4.14e-06, +00000-0, +51159-3,0,999,4,65.7567,101.7511,725264,148.5157,216.1469,12.94564449,817,5,6674.0593770159985,7661.029002764407
2004,9724, U, 76126V,20122.23913539,-3.46e-06, +00000-0, -12363-3,0,999,9,65.823,173.5109,809734,89.9496,279.4221,13.15699162,4227,5,6566.850728145406,7578.7658933172925
2005,9726, U, 73086GC,20120.87851394,2.2e-07, +00000-0, +59081-3,0,999,8,102.4396,95.8589,79900,354.7278,32.7897,12.26354548,663,7,7045.270891758459,7942.529929459026
2006,9730, U, 74089DZ,20121.90909708,1.018e-05, 00000-0, 25674-2,0,999,1,101.7066,98.3523,76954,328.8159,58.7863,13.21442445,14681,6,6538.309733194623,7556.790620155266
2007,9737, U, 77004A,20122.20235617,2.6e-07, +00000-0, +11994-4,0,999,3,82.9631,9.8356,26569,20.1034,94.0174,13.71684672,16550,3,6298.823757651497,7371.118056883306
2008,9738, U, 77004B,20122.09223059,-4.1e-07, +00000-0, -60397-4,0,999,8,82.96,329.8246,15668,219.264,251.7424,13.73668656,16862,7,6289.726392359353,7364.018963634678
2009,9785, U, 77005A,20121.88392877,-1.35e-06, +00000-0, +00000-0,0,999,6,12.7181,326.3024,47015,2.1258,174.0927,0.95269843,9547,7,90689.76842965932,43624.713824769045
2010,9786, U, 77005B,20121.83092046,1.97e-06, +00000-0, +24483-4,0,999,9,28.012,247.3517,416932,283.5222,71.9218,13.94595253,17951,0,6195.345912309655,7290.166304858671
2011,9795, U, 74089EA,20121.19624748,-1.57e-06, +00000-0, -50765-3,0,999,6,101.9416,14.2266,297886,276.6716,211.9382,12.62254348,8997,6,6844.896207875849,7791.211140448038
2012,9797, U, 76126X,20122.43261879,-2.28e-06, 00000-0, -12179-3,0,999,8,65.8178,253.7592,917767,40.3303,326.2212,12.76811966,197,4,6766.853875177421,7731.876846442842
2013,9798, U, 76126Y,20122.05585993,-3e-08, +00000-0, +93636-4,0,999,1,65.7562,346.9808,123414,139.2864,10.0626,13.60905638,14379,2,6348.713502794672,7409.988748262697
2014,9799, U, 76126Z,20122.04714932,-7e-08, +00000-0, +34171-4,0,999,1,65.6046,94.8944,1002193,68.3102,302.1522,12.7744104,36347,5,6763.52154773421,7729.338270317774
2015,9803, U, 77007A,20122.21507623,-1.58e-06, +00000-0, +00000-0,0,999,9,10.2335,307.5918,82934,344.2896,191.0526,0.97530305,282,9,88587.8496945129,42948.02222145032
2016,9807, U, 76126AA,20122.23895377,7.62e-06, +00000-0, +16910-3,0,999,2,65.7866,136.3583,537471,275.7608,78.2456,13.99797552,11843,1,6172.321124333557,7272.092664969421
2017,9816, U, 76126AC,20122.49020663,2.1e-06, 00000-0, 73461-4,0,999,1,65.7994,155.5464,664783,49.0758,316.5938,13.70148576,9826,5,6305.885472087663,7376.62628206351
2018,9818, U, 76126AE,20122.16635544,3.193e-05, +00000-0, +37295-3,0,999,4,65.7484,54.9178,288882,27.2344,334.3578,14.61175423,15538,3,5913.0477176113845,7066.992843862541
2019,9819, U, 76126AF,20122.47201042,4.95e-06, 00000-0, 12181-3,0,999,0,65.8899,210.8513,556519,318.4822,37.5204,13.95199301,12002,0,6192.663653004511,7288.061980317872
2020,9820, U, 76126AG,20121.92589307,1.72e-06, +00000-0, +99899-3,0,999,7,65.7963,266.9134,880931,221.2512,229.0516,11.92529885,75745,5,7245.101450853787,8092.0155716211075
2021,9821, U, 76126AH,20122.05716338,9.82e-06, +00000-0, +17888-3,0,999,6,65.7697,14.8022,399965,163.4024,198.0616,14.30193073,13894,7,6041.142390570088,7168.689618435316
2022,9822, U, 76126AJ,20122.51518102,-1e-06, 00000-0, -76381-5,0,999,6,65.7831,254.7398,955568,320.4591,33.0317,12.90132424,1855,7,6696.986944341769,7678.5643919604645
2023,9823, U, 76126AK,20122.0933367,-9.3e-07, +00000-0, -31514-5,0,999,5,65.8029,17.1927,943713,262.8583,86.4367,12.94197753,2495,4,6675.95039473075,7662.476043882648
2024,9824, U, 76126AL,20122.2525183,3.9e-07, +00000-0, +34110-4,0,999,3,65.8127,199.2456,909560,327.0496,27.6839,13.22482942,5792,5,6533.165552164831,7552.826435753283
2025,9826, U, 76126AN,20122.42097947,2.38e-06, 00000-0, 10145-3,0,999,3,65.8434,127.1008,804763,263.7664,87.1217,13.33635984,6234,4,6478.529451556849,7510.658587509005
2026,9827, U, 76126AP,20122.16807948,1.356e-05, +00000-0, +24135-3,0,999,1,65.7991,32.0834,379216,103.8221,260.5364,14.33124028,13938,8,6028.78734233322,7158.9122488093735
2027,9835, U, 73086GD,20121.85284351,-4.2e-06, 00000-0, -64610-2,0,999,8,101.3394,79.2366,666195,318.9271,58.5385,11.33111993,86057,7,7625.0185801360585,8372.484134614311
2028,9841, U, 77012A,20121.87430453,-2.3e-07, +00000-0, +35805-4,0,999,0,65.7527,272.2781,1731668,174.3565,188.0018,10.73823006,69336,1,8046.018712323994,8677.895604377296
2029,9843, U, 77012C,20121.94480698,5.1e-07, +00000-0, +24375-3,0,999,5,65.7458,242.8824,1730288,183.4697,175.2747,10.74678687,69407,1,8039.612308790489,8673.288648383397
2030,9846, U, 77013A,20122.55371618,3.3e-07, 00000-0, 19669-4,0,999,9,82.9423,311.8291,29033,323.3307,89.1482,13.73962198,16513,7,6288.382615312681,7362.970062465744
2031,9848, U, 77013B,20122.50569014,-5.7e-07, 00000-0, -75446-4,0,999,8,82.9471,289.0263,16396,190.3291,222.5677,13.75546413,16752,3,6281.14029330103,7357.315694786778
2032,9852, U, 77014A,20122.11554007,1.18e-06, +00000-0, +00000-0,0,999,3,10.625,309.0994,3003,59.3013,299.3846,1.00000957,10483,0,86399.17315991285,42237.68625883336
2033,9855, U, 77007C,20121.61603238,9.3e-07, 00000-0, 00000+0,0,999,4,8.967,300.2614,16735,351.291,8.5927,1.00249042,290,2,86185.362250145,42167.97411797357
2034,9862, U, 77018A,20122.11763373,8e-07, +00000-0, +00000-0,0,999,4,12.8599,329.4195,7744,54.2665,294.9297,1.00028392,12071,2,86375.47627477607,42229.96282567288
2035,9880, U, 77021A,20121.66998967,-1.703e-05, +00000-0, +14826-4,0,999,5,62.4595,29.1838,7484793,283.996,9.7049,2.00638905,21380,4,43062.43597172741,26551.728058723926
2036,9896, U, 76105N,20121.71121736,-4.81e-06, +00000-0, +00000-0,0,999,9,68.1539,16.6078,6644847,325.3634,5.6183,1.99722796,20353,7,43259.959168606874,26632.859573070746
2037,9903, U, 77024A,20122.18245499,7.5e-07, 00000-0, 36260-4,0,999,3,81.2599,145.1882,36076,204.6668,155.2779,14.08317107,21272,2,6134.981927759824,7242.734869841036
2038,9904, U, 77024B,20122.19224316,-5.6e-07, 00000-0, -40105-4,0,999,4,81.2648,196.1915,53217,252.6514,106.883,14.0689179,21029,3,6141.197255831594,7247.625769970082
2039,9907, U, 77024C,20121.90433761,1.096e-05, +00000-0, +29947-3,0,999,4,82.9157,298.573,7874,333.9812,26.0987,14.46533958,20046,0,5972.898148859081,7114.599679882454
2040,9921, U, 77027D,20121.39036321,-4.55e-06, +00000-0, +00000-0,0,999,2,72.2907,230.5225,5239199,224.6278,182.02,1.98898358,31277,0,43439.27263592593,26706.40467679087
2041,9931, U, 77029A,20122.26792785,-6.4e-07, 00000-0, 00000+0,0,999,0,27.1732,91.9251,6630860,351.736,1.113,1.96178668,30796,0,44041.485693031624,26952.6643587886
2042,9951, U, 76126AR,20122.23268739,-1e-07, +00000-0, +30416-4,0,999,3,65.8238,203.2705,826093,31.865,332.9719,13.20691846,76351,4,6542.025701277784,7559.653555141767
2043,9953, U, 76126AT,20122.21292982,4.18e-06, +00000-0, +22264-3,0,999,2,65.8303,30.5501,873337,114.8004,254.6397,13.05835501,3549,4,6616.453598775303,7616.882272817193
2044,9954, U, 76126AU,20122.45624294,-5.3e-07, 00000-0, 14377-4,0,999,7,65.7021,64.8227,921115,253.9897,95.7887,13.00674345,33646,0,6642.708094623025,7637.018476192068
2045,9955, U, 76126AV,20122.24273502,-3.1e-07, +00000-0, +21553-4,0,999,7,65.8465,54.649,1068206,14.7305,348.2405,12.62922606,70653,8,6841.274325879,7788.46249038882
2046,9956, U, 76126AW,20122.50569162,-1.22e-06, 00000-0, -12101-3,0,999,7,65.7957,273.3938,918102,81.5485,288.8366,12.36255436,95447,4,6988.846923056118,7900.066515011566
2047,9958, U, 76126AY,20122.15914654,2.42e-06, +00000-0, +36917-3,0,999,2,65.8728,64.5388,893161,74.6409,295.1409,12.59196306,98141,6,6861.519493688857,7803.820356555146
2048,9960, U, 76126BA,20122.14157675,1.11e-06, 00000-0, 13391-3,0,999,2,65.8667,103.7653,880184,216.2688,137.5482,12.83636171,863,6,6730.879197077409,7704.449149940294
2049,9961, U, 76126BB,20122.16473227,5.08e-06, +00000-0, +17182-3,0,999,1,65.8077,55.3614,624945,83.5626,283.6168,13.69540272,9225,5,6308.686335585171,7378.810420907515
2050,9962, U, 76126BC,20122.22141153,2.7e-06, +00000-0, +10547-3,0,999,3,65.771,159.6055,653087,182.1685,177.6516,13.64535528,8875,8,6331.8248757243055,7396.841718668756
2051,9963, U, 76126BD,20121.96620722,9e-08, +00000-0, +34214-4,0,999,6,65.7964,317.7862,829502,8.4354,352.9681,13.25806633,5629,3,6516.787429588912,7540.198268632727
2052,9964, U, 76126BE,20122.49188334,-2.92e-06, 00000-0, -10641-3,0,999,7,65.8,155.3272,846992,188.4734,170.1192,13.05849697,3300,6,6616.381670761302,7616.827070212631
2053,9965, U, 76126BF,20122.25944858,-3.03e-06, +00000-0, -77320-3,0,999,3,65.7957,215.787,888434,358.1893,27.8964,12.12933158,89675,8,7123.228467301904,8001.013042474688
2054,9966, U, 76126BG,20121.70771514,3.65e-06, +00000-0, +16987-3,0,999,8,65.7852,239.3783,704030,318.7112,36.2673,13.44506366,6878,1,6426.1503095032585,7470.121211317501
2055,9973, U, 68097DV,20122.04799047,1.59e-06, +00000-0, +89981-4,0,999,9,62.4034,93.4261,674382,129.909,236.3242,13.56936789,72582,7,6367.282595652287,7424.430496282958
2056,9975, U, 73086GE,20122.14032231,-0.0, +00000-0, +34016-3,0,999,5,102.4777,352.7293,98256,351.704,169.7074,12.4254768,81526,6,6953.455500395768,7873.373403733054
2057,9976, U, 73086GF,20121.48032392,4.3e-07, +00000-0, +70582-3,0,999,4,102.2715,99.9516,43399,333.293,147.291,12.3499566,2003,5,6995.976002053319,7905.437990276083
2058,9977, U, 73086GG,20122.42500795,4.5e-07, 00000-0, 56865-3,0,999,7,101.9689,167.4256,75460,151.9893,326.42,12.53132839,4344,6,6894.719961927356,7828.973385411165
2059,9978, U, 73086GH,20121.94037206,-2.4e-07, 00000-0, 14479-3,0,999,9,101.7678,107.3839,54203,112.5552,306.2636,12.32982083,1715,9,7007.4010961925715,7914.042537368509
2060,9979, U, 73086GJ,20121.7357908,-7.54e-06, +00000-0, -10665-1,0,999,0,101.9427,34.1006,590065,263.6716,115.8808,11.49933821,26255,2,7513.475855929279,8290.632397585105
2061,9981, U, 77012E,20122.2258461,-2.34e-06, +00000-0, -55212-3,0,999,8,65.2055,177.9125,1678117,78.6582,299.7436,10.83453922,70764,2,7974.49695327237,8626.393402129968
2062,9982, U, 77012F,20122.22908136,1.5e-07, +00000-0, +13316-3,0,999,6,65.8988,162.5108,1721233,219.0905,127.2439,10.80331951,70445,1,7997.541859242854,8643.004590010212
2063,9983, U, 77012G,20122.19617461,-1e-07, +00000-0, +78822-4,0,999,1,65.5956,151.4272,1698756,116.0031,262.5504,10.75129459,69678,6,8036.241522054694,8670.864165829587
2064,9984, U, 74089EB,20121.85046178,-2.6e-07, +00000-0, +14341-3,0,999,8,102.0396,80.9857,94780,320.7923,94.884,12.40372848,6020,4,6965.647477636499,7882.574005228345
2065,9985, U, 74089EC,20121.67544697,0.0, +00000-0, +29615-3,0,999,9,101.6893,79.1119,48092,332.0219,203.8871,12.48813548,7302,7,6918.566837969634,7847.01512385021
2066,9986, U, 74089ED,20121.83383665,6.963e-05, +00000-0, +86986-2,0,999,1,103.3465,79.9111,494323,91.8292,273.9476,13.23093125,13342,0,6530.152592244782,7550.504119704222
2067,9987, U, 74089EE,20122.52494747,9.4e-07, 00000-0, 87786-3,0,999,2,101.3744,321.3439,92289,142.9351,273.9367,12.49921506,6971,4,6912.434067679767,7842.377260274076
2068,9988, U, 74089EF,20122.21167373,5.02e-06, +00000-0, +40694-3,0,999,2,103.058,6.7657,284232,344.4406,14.813,13.80424172,19443,0,6258.945746713569,7339.973981255206
2069,9989, U, 74089EG,20122.69106358,-5.28e-06, 00000-0, -32945-2,0,999,0,103.0362,196.3115,156915,62.4582,89.3072,12.43039078,2346,3,6950.706661532648,7871.298266557889
2070,9998, U, 74033F,20121.79337087,-7.1e-07, +00000-0, +00000-0,0,999,1,2.4966,129.137,267121,278.6544,78.597,1.16183909,2808,4,74364.8589065806,38218.37651008419
2071,10000, U, 77034A,20122.19356857,-1.09e-06, 00000-0, 00000+0,0,999,3,13.3104,315.8881,17715,321.072,38.7401,0.96673201,14390,9,89373.26902002552,43201.49985026842
2072,10001, U, 77034B,20121.91550817,-1.23e-06, +00000-0, +00000-0,0,999,2,13.7996,320.354,36317,95.0636,257.3438,0.95427029,9616,7,90540.38557566327,43576.79533856918
2073,10002, U, 77034C,20121.17968042,-1.3e-06, 00000-0, 00000+0,0,999,1,13.9152,317.4281,295649,44.7769,317.3497,0.95555246,9174,0,90418.8975663356,43537.80542463314
2074,10010, U, 77036A,20122.24562989,-5.7e-07, +00000-0, -78943-5,0,999,7,65.8616,181.2665,709990,207.6213,148.5312,12.30336991,90998,6,7022.466253719262,7925.381369556073
2075,10011, U, 77036B,20122.25267042,-3.2e-07, +00000-0, +81832-4,0,999,3,65.8642,91.1147,701727,188.0294,277.1915,12.32233493,91136,9,7011.658138722577,7917.247435060001
2076,10013, U, 77036C,20122.54386691,-4.9e-07, 00000-0, 20424-4,0,999,7,65.8655,174.8415,707520,195.5669,318.7434,12.30730399,93018,2,7020.221493692055,7923.692359209769
2077,10016, U, 77038A,20121.8569984,-1.23e-06, +00000-0, +00000-0,0,999,5,10.4377,339.407,1269104,84.4512,175.4128,1.00232637,400,1,86199.46814329547,42172.575059459006
2078,10019, U, 77039A,20122.17170264,2.6e-07, 00000-0, 10840-4,0,999,7,82.9494,354.3622,25881,109.6376,41.2858,13.75235703,15455,4,6282.559405018588,7358.42382264362
2079,10020, U, 77039B,20122.03424021,1.27e-06, +00000-0, +11117-3,0,999,6,82.9421,302.7744,29944,247.9302,111.8675,13.78032274,15806,9,6269.809614052623,7348.465022883449
2080,10024, U, 77041A,20122.02176147,-2.22e-06, 00000-0, 00000+0,0,999,7,13.0767,329.9631,8009,202.6338,351.4023,0.99442424,9901,2,86884.44682321904,42395.69469404033
2081,10025, U, 77041B,20121.98486071,-3.9e-07, +00000-0, -54335-3,0,999,3,21.7733,318.4212,7189286,182.0794,200.7834,2.22708587,34808,4,38795.09145285,24767.276297126842
2082,10033, U, 77044A,20122.35826221,3.2e-07, 00000-0, 31247-4,0,999,1,99.0356,34.5424,38125,223.4444,136.3731,14.29327315,4829,9,6044.80157157005,7171.584091450062
2083,10059, U, 77047A,20121.43881282,1.4e-06, +00000-0, +00000-0,0,999,7,62.6754,193.2599,7090407,41.1386,354.7656,2.00598705,31417,3,43071.06568808608,26555.27525284513
2084,10061, U, 77048A,20122.3194976,-2.11e-06, 00000-0, 00000+0,0,999,4,11.504,315.6537,15861,4.9922,3.8866,0.99401539,10127,0,86920.18339877011,42407.3191228797
2085,10062, U, 77048B,20122.16165923,1.54e-06, 00000-0, 19664-4,0,999,5,28.4185,216.0279,736561,333.5488,22.9189,13.36683529,8735,8,6463.758857314386,7499.238394205591
2086,10089, U, 77047D,20120.73449342,-6.99e-06, 00000-0, 00000+0,0,999,8,66.4487,256.792,6587663,343.8076,2.373,1.99337636,21586,2,43343.54602258853,26667.155192785573
2087,10091, U, 77053A,20118.47521249,-4.6e-07, +00000-0, +00000-0,0,999,0,64.4671,351.2564,60992,233.3247,308.6279,2.00450157,31373,3,43102.98444914663,26568.393213691605
2088,10095, U, 77055A,20121.79188056,6.5e-07, +00000-0, +84264-5,0,999,9,75.8344,235.4506,38791,328.0438,31.8402,14.91912577,32023,3,5791.224052399687,6969.591230703092
2089,10096, U, 77055B,20122.54589883,5.7e-07, 00000-0, 81579-5,0,999,4,75.8328,295.5437,42267,52.9678,307.5367,14.88700169,31838,2,5803.720708786996,6979.6139008979235
2090,10114, U, 77057B,20122.17957945,2.45e-06, 00000-0, 15447-4,0,999,3,97.3002,272.924,12188,251.3605,108.6306,15.17455774,34260,3,5693.740897123504,6891.157813058536
2091,10120, U, 77059A,20122.21160873,1.7e-07, +00000-0, +16047-4,0,999,7,74.0467,143.9993,14194,255.2358,104.722,14.31978609,23551,1,6033.6096822239615,7162.729280374525
2092,10121, U, 77059B,20122.13709952,4.3e-07, +00000-0, +23904-4,0,999,5,74.0493,7.6834,17932,101.5637,258.753,14.35938862,24018,1,6016.969265645517,7149.553568572653
2093,10136, U, 70025NQ,20122.26015806,-0.0, +00000-0, +68982-4,0,999,8,99.9306,46.3756,1926,94.5747,59.3372,13.51655096,46812,5,6392.163226823657,7443.758932276793
2094,10137, U, 77062A,20122.22295399,2.6e-07, +00000-0, +11371-4,0,999,7,82.9446,218.522,33952,104.2831,283.4035,13.7232505,14339,1,6295.884491797333,7368.824786287956
2095,10138, U, 77062B,20122.18977295,4.5e-07, 00000-0, 31535-4,0,999,0,82.9431,189.2568,20384,353.1109,58.0952,13.73874719,14350,2,6288.783016757731,7363.282608393455
2096,10141, U, 77064A,20122.17283848,3.2e-07, +00000-0, +16638-4,0,999,2,82.9683,355.1872,38618,148.8578,211.4879,13.76649432,14955,4,6276.107627086865,7353.3852130911455
2097,10142, U, 77064B,20122.50803465,-6.7e-07, 00000-0, -80511-4,0,999,4,82.963,319.3209,42103,14.2868,43.7508,13.78609932,15264,7,6267.182470871681,7346.412135642542
2098,10143, U, 77065A,20122.13260918,6.2e-07, +00000-0, +00000-0,0,999,9,11.6367,315.2322,15592,171.3525,209.8838,0.99246022,9901,0,87056.38599802017,42451.608641799896
2099,10144, U, 77065B,20122.48864295,2.31e-06, 00000-0, 35989-4,0,999,2,29.064,179.7959,857804,210.2938,144.5222,13.21762748,6627,9,6536.725303443035,7555.569745239689
2100,10150, U, 77068A,20122.16715584,-2.33e-06, 00000-0, 00000+0,0,999,7,68.6144,183.3165,6045432,24.6354,0.1362,2.00337963,31385,8,43127.12314041049,26578.31157401872
2101,10155, U, 77054D,20122.26498734,-1.5e-07, +00000-0, -56978-3,0,999,1,62.9321,240.6201,6962745,284.8246,12.5978,2.48952799,6305,6,34705.37400947237,22994.548243910864
2102,10159, U, 77071A,20121.96577402,-3.15e-06, +00000-0, +00000-0,0,999,4,9.6315,303.2333,6367,213.842,150.6349,1.00211037,15460,0,86218.04801800424,42178.63490361293
2103,10167, U, 77068D,20121.29634756,2.75e-06, 00000-0, 00000+0,0,999,4,64.1051,226.298,6459332,47.2054,351.4765,1.99746666,23608,1,43254.78954427204,26630.737755359984
2104,10177, U, 77065F,20122.20262289,4.81e-06, +00000-0, +63420-4,0,999,1,28.2271,117.6383,562903,72.3458,293.7741,13.95790559,98240,2,6190.040435715542,7286.003682385487
2105,10178, U, 77065G,20122.13986582,4.38e-06, +00000-0, +12190-2,0,999,1,28.719,159.4705,912272,278.5435,111.6472,12.05798179,73981,3,7165.378212102941,8032.54452598291
2106,10183, U, 77065M,20122.17961268,1.26e-06, +00000-0, +52094-5,0,999,9,29.2145,36.3521,553406,301.5842,53.185,13.79528621,9955,8,6263.008877435968,7343.150240131644
2107,10184, U, 77065N,20122.14118174,2.9e-06, +00000-0, +41750-4,0,999,5,29.0802,131.096,784764,259.5017,91.6265,13.42476043,6573,6,6435.8690384465945,7477.651048239029
2108,10188, U, 77065S,20122.23757678,5.76e-06, +00000-0, +11931-3,0,999,1,29.0699,200.8132,702645,252.25,100.0208,13.56628569,8656,8,6368.729214046207,7425.554985514477
