,SatelliteCatalogNumber,ElsetClassification,InternationalDesignator,ElementSetEpoch(UTC),1stDerivativeMeanMotion,2ndDerivativeMeanMotion,b*DragTerm,ElementSetType,ElementNumber,Checksum,OrbitInclination,RightAscension,Eccentricity,ArgumentofPerigee,MeanAnomaly,MeanMotion,RevolutionNumberatEpoch,Checksum(2),OrbitalPeriod,SemiMajorAxis
2109,10198, U, 77065AB,20121.66664803,-2.6e-07, +00000-0, -67341-4,0,999,4,29.5629,253.8776,631406,91.4164,275.8766,13.21176499,3259,0,6539.62586114696,7557.8046813964775
2110,10201, U, 77065AE,20121.83674733,5.08e-06, +00000-0, +77743-4,0,999,1,29.0906,311.8959,707258,180.3139,179.7029,13.64794342,10203,6,6330.624134430944,7395.906551298137
2111,10204, U, 77065AH,20122.17942354,7.4e-06, 00000-0, 95607-4,0,999,6,28.8364,119.3273,304134,198.9929,159.9089,14.44044401,15021,4,5983.195526409579,7122.774458978728
2112,10206, U, 77065AK,20122.34951874,1.046e-05, 00000-0, 78000-3,0,999,1,29.2164,205.4356,582472,317.679,38.0209,13.3147169,3391,4,6489.060236797074,7518.795384718676
2113,10207, U, 77065AL,20122.08314246,8.15e-06, +00000-0, +14560-2,0,999,2,29.0902,96.177,697545,338.1751,19.0399,12.68606358,96935,6,6810.623283980105,7765.181924551181
2114,10208, U, 77065AM,20122.05017822,4.36e-06, 00000-0, 53357-4,0,999,8,28.9369,24.3253,471111,275.1592,79.5401,14.12178767,12561,0,6118.205571348885,7229.52514372639
2115,10211, U, 77065AQ,20122.16703736,1.261e-05, +00000-0, +25347-2,0,999,3,29.4743,32.5338,678991,106.8962,260.7112,12.66825991,82657,8,6820.194771327516,7772.455555697258
2116,10214, U, 77065AT,20122.22982199,2.023e-05, +00000-0, +81867-3,0,999,2,28.8703,80.8208,600515,64.7103,301.4443,13.56994062,4707,4,6367.013859490271,7424.221592200573
2117,10220, U, 77065AX,20122.65756132,2.55e-06, 00000-0, 76033-4,0,999,7,29.1408,350.7277,483725,18.7092,343.0618,13.75142566,8460,1,6282.984916343576,7358.756071241209
2118,10221, U, 77065AY,20121.58547535,1.024e-05, +00000-0, +11820-3,0,999,1,29.0345,219.1095,444042,276.3782,78.6427,14.27422192,14945,2,6052.8693251533805,7177.963756130386
2119,10227, U, 77065BE,20122.20840021,3.82e-06, 00000-0, 98523-4,0,999,5,28.9503,201.907,713554,188.914,169.8113,13.43136547,7305,7,6432.7041202907585,7475.199362379097
2120,10229, U, 77065BG,20122.23497917,2.695e-05, +00000-0, +61377-3,0,999,7,28.7997,179.6912,241849,323.9181,34.5292,14.36677749,36347,0,6013.874723133893,7147.102002746082
